id,userName,score,content,reviewDate,thumbsUpCount,sentiment
208,Mohan Yadav,5,excellent,2025-06-13 15:49:03,0,Positive
209,Katherine Chan,2,My name displayed in WhatsApp appears as mobile no. previously it was labelled as my name. What happen to it? Pls fix,2025-06-13 15:49:02,0,Neutral
210,জানার দরকার নেই,1,bad 😞,2025-06-13 15:48:28,0,Negative
211,Map,1,I am facing trouble on my WhatsApp. my account has banned . but I don't know why .,2025-06-13 15:47:59,0,Negative
212,Orifha Maphwanya,5,This app is so much easy to understand and download your apps,2025-06-13 15:47:43,0,Positive
213,linear momentum,5,", J",2025-06-13 15:47:38,0,Neutral
214,Naveed Ulhasan,1,please back the mic tapping sound gundu,2025-06-13 15:47:38,1,Positive
215,Syed Fadhiel,5,Best apps ever.. for chating and group chat.. 😍😍,2025-06-13 15:45:14,0,Positive
216,Saviour Eshiett,4,I've been blocked for spamming so many times(that i know nothing about) and this last time my account was finally blocked for good for no reason at all except telling me that my account goes against whatsapp's terms if service. Whi ch/what terms of service!! Because i've read everything and i'm rather certain that i've not violated anything,2025-06-13 15:44:15,1,Positive
217,Shivam Dubey,5,good,2025-06-13 15:43:52,0,Positive
218,imtiyaj ahir,5,💛,2025-06-13 15:43:39,0,Neutral
219,Stefan,1,I keep getting banned for creating a small group of 6 people. they eventually restore access but I still can't create a group. absolutely terrible. especially since I lose access to my messages for several hours in the meantime,2025-06-13 15:43:15,0,Negative
220,Arsaldo Donguya,5,five star.. very useful apps,2025-06-13 15:42:29,0,Positive
221,PREM PRAKSH VERMA,5,excellent,2025-06-13 15:42:20,0,Positive
222,Arijit Dasgupta,1,Its good for text and video call also.,2025-06-13 15:42:03,0,Positive
223,Blessing Friday Uko,5,But de always bum my WhatsApp account all dey time,2025-06-13 15:41:21,0,Neutral
224,Gopal X,1,please help me my WhatsApp is not opening fixed this account can no longer use WhatsApp,2025-06-13 15:41:03,0,Neutral
225,Shivank Pandey,1,sahi,2025-06-13 15:40:28,0,Neutral
226,Sibusisoncube Sibusisoncube,5,this app is a good app,2025-06-13 15:39:42,0,Positive
227,Ehtysham Haneef,5,It is very useful for all contact,2025-06-13 15:38:47,0,Positive
228,Alif Anam,5,Very good condition,2025-06-13 15:38:29,0,Positive
229,Waseem Khan,1,"Please consider bringing back the voice note tapping sound or add an option to enable/disable it. Without it, I'm experiencing confusion between accidental and intentional taps, especially in noisy environments or when switching chats quickly. The sound provided clear feedback and made the experience more responsive. Thanks!",2025-06-13 15:38:15,0,Positive
230,Monika,5,This app is so goodv,2025-06-13 15:38:00,0,Neutral
231,Marek Martyn,1,"Meta platform blocking WhatsApp, telling me ""this version of WhatsApp became out of date on 27 May 2025"". Google Play Store saying that the application was updated 10 June 2025.",2025-06-13 15:36:00,0,Neutral
232,Awwal Soyinka,5,A very good app but I don't like every time updating what's up.,2025-06-13 15:35:55,0,Positive
233,Hafizmuhamad Suleman,5,nice,2025-06-13 15:35:34,0,Positive
234,Enoch Lawrence,5,This is my best chatting app Full of fun memories and experience,2025-06-13 15:35:32,1,Positive
235,LAGROSS TV,5,very good,2025-06-13 15:35:18,0,Positive
236,jyoti anand,5,new update is not showing yet my phone,2025-06-13 15:33:50,1,Positive
