userName,content,score,at,thumbsUpCount
Rakesh Kumar,Comfortable seat and Good Ac,5,2025-06-20 08:50:40,0
Shivani,"it was nice experience with red bus app. we can easily search out bus and train wherever we want to go. Buses were on time, hygienic, comfortable.",5,2025-06-20 08:39:11,0
Gurpreet Singh,"As mentioned in the features list while travelling in a red bus, there was not any charging point at the seat for charging the mobile phone. Rest overall experience was good.",4,2025-06-20 08:37:13,0
INAMUL HASAN,good,5,2025-06-20 08:34:39,0
ajay rajput,very well managed trip,5,2025-06-20 08:31:30,0
Primeclasstutor,Don't use this,1,2025-06-20 07:55:00,1
Narasimha Prasad Gopal,Good,5,2025-06-20 07:50:57,0
Rahul Choudhary,World Best Experience ❤️❤️👍👍,5,2025-06-20 07:43:06,0
Sri Lakshmi,nice,5,2025-06-20 07:29:36,0
Roja banu,super,5,2025-06-20 07:19:21,0
D̷i̷w̷a̷k̷a̷r̷ Y̷a̷d̷a̷v̷,comfortable,5,2025-06-20 07:01:05,0
CA Jyotikumar Jain,perfect,5,2025-06-20 06:52:36,0
Ajay Prasad,excellent service,5,2025-06-20 06:33:55,0
Nicolas Arya Kuntawijaya,some error was found in bus reservation,4,2025-06-20 06:19:54,0
Lipika Dhar,good,5,2025-06-20 06:18:25,0
sam sam,i like it the bus❤️,5,2025-06-20 06:10:18,0
Bagoenk 38,"aplikasi sangat membantu saya harap lebih banyak pilihan busnya di app ini, dan juga kalo bisa agen yg di lapangan dapat bagian dari pembelian tiket online soalnya beberapa kali cetak tiket online di agen agak kurang welcome mereka kpd pembeli tiket online.",5,2025-06-20 06:07:08,0
TB Chetri,very good,5,2025-06-20 04:47:42,0
Shaker Sk,redBus Aap bahut achcha hai National Tourist Soo super bus depot nice clean bus personal window seat personal mirror super bus lighting decoration very nice washroom time per aate Hain break ke liye time per paate Hain Bus smart Bus 👍 mujhe mere family ko bahut pasand aaya Hai bus National Tourist,5,2025-06-20 03:33:57,0
Achyut Sreeram,okay 👍,5,2025-06-20 03:16:09,0
Ashif Ashi,don't install this app. becuse i reserved ksrtc bus. they not give bus operator contact number and update messages. very disappointed service,1,2025-06-20 02:56:04,1
Rahul Jha,very osm experience on first time.,5,2025-06-20 02:11:18,0
Sasi Kumar,bus booking best apps 👍,5,2025-06-20 01:51:35,0
Jagadish Moger,good,5,2025-06-20 00:54:59,0
Indra Prakash Joshi,service is too much better,5,2025-06-20 00:45:22,0
Manoj Chinchurkar,good,3,2025-06-20 00:40:52,0
Gkp Shiva Rajput,Red bus me ac bus aur seat booked hota hai bad me non-Ac bus hojata hai sath me abhi bus ka bhi same conditions hai es apps se sabhi non-ac bus jo ac bus ki tagg liye hai unke uper red bus application ke owner ko dhyan dena chahiye very bad service,1,2025-06-20 00:37:47,1
Rahul Shah,Good,5,2025-06-20 00:32:20,0
PRAVIN Khot,good,4,2025-06-20 00:30:47,0
